Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
ANG	RAA1, RNASE5	ENSG00000214274	P03950	Nucleoli
ANKRD18A	FLJ35740, KIAA2015	ENSG00000180071	Q8IVF6	Nucleoli
ANKRD18B	bA255A11.3	ENSG00000230453	A2A2Z9	Nucleoli
ANKRD30A	NY-BR-1	ENSG00000148513	Q9BXX3	Nucleoli
ANKRD30B	NY-BR-1.1	ENSG00000180777	Q9BXX2	Nucleoli
ANKRD49	FGIF, FLJ20189, GBIF	ENSG00000168876	Q8WVL7	Nucleoplasm, Nucleoli
ANKS6	ANKRD14, FLJ36928, NPHP16, SAMD6	ENSG00000165138	Q68DC2	Nucleoli
ANXA10	ANX14	ENSG00000109511	Q9UJ72	Nucleoplasm, Nucleoli
AP002495.1		ENSG00000254469	Q6ZNB5	Nucleoli
APOC3		ENSG00000110245	P02656	Nucleoplasm
APTX	AOA, AOA1, AXA1, EAOH, EOAHA, FLJ20157	ENSG00000137074	Q7Z2E3	Nucleoplasm, Nucleoli
ARHGAP11A	KIAA0013	ENSG00000198826	Q6P4F7	Cytosol
ARID5A	MRF-1, RP11-363D14	ENSG00000196843	Q03989	Nucleoplasm
ARL2	ARFL2	ENSG00000213465	P36404	Nucleoplasm
ARL9		ENSG00000196503	Q6T311	Mitochondria
ARNTL2	bHLHe6, BMAL2, CLIF, MOP9, PASD9	ENSG00000029153	Q8WYA1	Nucleoplasm, Nucleoli
ARPP21	ARPP-21, R3HDM3, TARPP	ENSG00000172995	Q9UBL0	Nucleoli
ASNA1	ARSA-I, GET3, TRC40	ENSG00000198356	O43681	Nucleoli
ASXL1	KIAA0978	ENSG00000171456	Q8IXJ9	Nucleoplasm, Nucleoli
ATAD1	FLJ14600	ENSG00000138138	Q8NBU5	Nucleoli
ATF3		ENSG00000162772	P18847	Nucleoplasm, Nucleoli
ATF6B	CREBL1, G13	ENSG00000213676	Q99941	Nucleoplasm
ATG10	APG10L, DKFZP586I0418, FLJ13954	ENSG00000152348	Q9H0Y0	Nucleoli
ATP13A3	AFURS1	ENSG00000133657	Q9H7F0	Nucleoli
ATP6AP1L		ENSG00000205464	Q52LC2	Cytosol
ATP6V1G1	ATP6G, ATP6G1, ATP6GL, ATP6J, DKFZp547P234, Vma10	ENSG00000136888	O75348	Nucleoli
ATXN1	ATX1, D6S504E, SCA1	ENSG00000124788	P54253	Nucleoplasm
ATXN3	ATX3, JOS, MJD, SCA3	ENSG00000066427	P54252	Nucleoplasm, Nucleoli
ATXN7L2	FLJ00381, MGC46534	ENSG00000162650	Q5T6C5	Nucleoli
AXIN1	PPP1R49	ENSG00000103126	O15169	Nucleoli, Vesicles
B3GNT4	B3GN-T4, beta3Gn-T4	ENSG00000176383	Q9C0J1	Mitochondria
B3GNT5	B3GN-T5, beta3Gn-T5	ENSG00000176597	Q9BYG0	Nucleoli
B3GNTL1	B3GNT8	ENSG00000175711	Q67FW5	Nucleoli
BAHCC1	BAHD2, KIAA1447	ENSG00000266074		Nucleoli
BATF2	MGC20410	ENSG00000168062	Q8N1L9	Nucleoli
BCAS3	FLJ20128	ENSG00000141376	Q9H6U6	Nucleoli
BCKDHB		ENSG00000083123	P21953	Mitochondria
BLCAP	BC10	ENSG00000166619	P62952	Nucleoli
BMI1	PCGF4, RNF51	ENSG00000168283	P35226	Nucleoplasm, Nuclear bodies
BMP7	OP-1	ENSG00000101144	P18075	Vesicles
BMS1	BMS1L, KIAA0187	ENSG00000165733	Q14692	Nucleoplasm, Nucleoli
BOP1	KIAA0124	ENSG00000261236	Q14137	Nucleoli
BPGM		ENSG00000172331	P07738	Nucleoli
BRF2	BRFU, FLJ11052, TFIIIB50	ENSG00000104221	Q9HAW0	Nucleoli
BRIX1	BRIX, BXDC2, FLJ11100	ENSG00000113460	Q8TDN6	Nucleoli
BRWD1	C21orf107, DCAF19, FLJ11315, N143, WDR9	ENSG00000185658	Q9NSI6	Nucleoli, Cytosol
BTBD16	C10orf87, Em:AC061711.1, FLJ25359	ENSG00000138152	Q32M84	Nucleoli
BUD23	MERM1, MGC19709, MGC2022, MGC5140, PP3381, WBMT, WBSCR22	ENSG00000071462	O43709	Nucleoplasm, Nucleoli
BYSL	Enp1	ENSG00000112578	Q13895	Nucleoli
C10orf67	bA215C7.4, C10orf115, LINC01552, MGC46732	ENSG00000179133	Q8IYJ2	Nucleoplasm
C11orf68	BLES03, P5326	ENSG00000175573	Q9H3H3	Nucleoplasm, Nucleoli
C12orf43	FLJ12448	ENSG00000157895	Q96C57	Nucleoli
C14orf39	SIX6OS1	ENSG00000179008	Q8N1H7	Nucleoplasm, Nucleoli
C15orf61	LOC145853	ENSG00000189227	A6NNL5	Nucleoli, Vesicles
C16orf58	FLJ13868	ENSG00000140688	Q96GQ5	Nucleoli, Golgi apparatus, Vesicles
C17orf97	LIAT1, LOC400566	ENSG00000187624	Q6ZQX7	Nucleoli
C17orf98	LOC388381	ENSG00000275489	A8MV24	Intermediate filaments
C18orf21	HsT3108, PNAS-124, PNAS-131	ENSG00000141428	Q32NC0	Nucleoli, Plasma membrane
C19orf53	HSPC023, LYDG10	ENSG00000104979	Q9UNZ5	Nucleoplasm, Nucleoli
C1D	LRP1, Rrp47, SUN-CoR, SUNCOR	ENSG00000197223	Q13901	Nucleoplasm, Nucleoli
C1orf109	FLJ20508	ENSG00000116922	Q9NX04	Cytosol
C1orf210	MGC52423, TEMP	ENSG00000253313	Q8IVY1	Nucleoli
C22orf46	CTA-216E10.6, FLJ23584	ENSG00000184208	C9J442	Nucleoplasm
C2CD2L	KIAA0285, TMEM24	ENSG00000172375	O14523	Nucleoplasm, Nucleoli
C2orf68		ENSG00000168887	Q2NKX9	Nucleoplasm, Nuclear membrane, Mitochondria
C7orf26	MGC2718	ENSG00000146576	Q96N11	Nucleoplasm
C7orf50	MGC11257, YCR016W	ENSG00000146540	Q9BRJ6	Nucleoplasm, Nucleoli
C8orf34	vest-1, VEST1	ENSG00000165084	Q49A92	Nucleoplasm, Nucleoli
C8orf59		ENSG00000176731	Q8N0T1	Nucleoplasm, Nucleoli
C9orf85	MGC61599	ENSG00000155621	Q96MD7	Golgi apparatus
CA13	CAXIII, FLJ37995, MGC59868	ENSG00000185015	Q8N1Q1	Nucleoli
CACHD1	KIAA1573, VWCD1	ENSG00000158966		Nucleoplasm, Nucleoli
CAMLG	CAML, GET2	ENSG00000164615	P49069	Vesicles
CAPS2		ENSG00000180881	Q9BXY5	Centrosome
CASP8AP2	CED-4, FLASH, FLJ11208, KIAA1315, RIP25	ENSG00000118412		Nucleoli, Nuclear bodies
CATSPERG	C19orf15, DKFZp434A1022, FLJ46353	ENSG00000099338	Q6ZRH7	Nucleoli
CBS	HIP4	ENSG00000160200	P35520	Vesicles
CBSL		ENSG00000274276	P0DN79	Vesicles
CC2D2B	bA248J23.4, bA690P14.3, C10orf130, C10orf131	ENSG00000188649	Q6DHV5	Nucleoli
CCDC136	DKFZP434G156, KIAA1793, NAG6	ENSG00000128596	Q96JN2	Nucleoli
CCDC137	MGC16597	ENSG00000185298	Q6PK04	Nucleoli
CCDC148	MGC125588	ENSG00000153237	Q8NFR7	Nucleoplasm, Nucleoli
CCDC149	DKFZp761B107	ENSG00000181982	Q6ZUS6	Nucleoli
CCDC171	bA536D16.1, bA778P13.1, C9orf93, Em:AL513423.1, FLJ39267, FLJ46740	ENSG00000164989	Q6TFL3	Nucleoplasm
CCDC175	C14orf38	ENSG00000151838	P0C221	Nucleoplasm
CCDC24	MGC45441	ENSG00000159214	Q8N4L8	Plasma membrane
CCDC58	FLJ33273	ENSG00000160124	Q4VC31	Mitochondria
CCDC59	BR22, HSPC128, TAP26	ENSG00000133773	Q9P031	Nucleoli
CCDC7	BIOT2, C10orf68, FLJ13031, FLJ32762	ENSG00000216937	Q96M83	Nucleoli
CCDC86	MGC2574	ENSG00000110104	Q9H6F5	Nucleoli
CDCA7L	JPO2, R1, RAM2	ENSG00000164649	Q96GN5	Nucleoplasm, Nucleoli
CDCA8	BOR, DasraB, FLJ12042, MESRGP	ENSG00000134690	Q53HL2	Nucleoli
CDK4	PSK-J3	ENSG00000135446	P11802	Cytosol
CDK5RAP3	C53, FLJ13660, HSF-27, IC53, LZAP, MST016, OK/SW-cl.114	ENSG00000108465	Q96JB5	Cytosol
CDKN2A	ARF, CDK4I, CDKN2, CMM2, INK4, INK4a, MLM, MTS1, p14, p14ARF, p16, p16INK4a, p19, p19Arf	ENSG00000147889	P42771, Q8N726	Nucleoli
CDRT1	FBXW10B, FBXW10P1, HREP, SM25H2	ENSG00000241322	O95170	Nucleoplasm, Nucleoli
CDV3	H41	ENSG00000091527	Q9UKY7	Cytosol
CEACAM19	CEAL1	ENSG00000186567	Q7Z692	Nucleoli, Mitochondria
CENPBD1	MGC16385	ENSG00000177946	B2RD01	Nucleoli, Vesicles
CENPH		ENSG00000153044	Q9H3R5	Nucleoplasm, Nucleoli
CENPP	CENP-P, RP11-19J3.3	ENSG00000188312	Q6IPU0	Nucleoplasm
CEP85	CCDC21, DKFZP434L0117	ENSG00000130695	Q6P2H3	Nucleoli
CERCAM	CEECAM1, CerCAM, GLT25D3	ENSG00000167123	Q5T4B2	Nucleoplasm, Nucleoli
CERS5	FLJ25304, LASS5, MGC45411, Trh4	ENSG00000139624	Q8N5B7	Nucleoli
CHD3	Mi-2a, Mi2-ALPHA, ZFH	ENSG00000170004	Q12873	Nucleoplasm, Nucleoli, Centriolar satellite
CHD7	CRG, FLJ20357, FLJ20361, KIAA1416	ENSG00000171316	Q9P2D1	Nucleoplasm
CKAP5	ch-TOG, KIAA0097, TOG, TOGp	ENSG00000175216	Q14008	Plasma membrane, Centrosome
CLDND1	C3orf4, Z38	ENSG00000080822	Q9NY35	Nucleoplasm
CLN6	FLJ20561, HsT18960, nclf	ENSG00000128973	Q9NWW5	Endoplasmic reticulum
CMAS		ENSG00000111726	Q8NFW8	Cytosol
CMSS1	C3orf26, MGC4308	ENSG00000184220	Q9BQ75	Nucleoli
COIL	CLN80, p80-coilin	ENSG00000121058	P38432	Nucleoplasm
COMMD3-BMI1		ENSG00000269897		Nuclear bodies
COQ5	MGC4767	ENSG00000110871	Q5HYK3	Nucleoli
COX10		ENSG00000006695	Q12887	Mitochondria
COX7A2L	COX7AR, COX7RP, EB1, SIG81	ENSG00000115944	O14548	Mitochondria
CPNE3		ENSG00000085719	O75131	Nucleoplasm, Cytosol
CPS1		ENSG00000021826	P31327	Nucleoli
CPT2	CPT1, CPTASE	ENSG00000157184	P23786	Nucleoplasm, Nucleoli, Mitochondria
CRAMP1	CRAMP1L, KIAA1426	ENSG00000007545	Q96RY5	Nucleoplasm
CRELD1	AVSD2	ENSG00000163703	Q96HD1	Cytosol
CRIP2	CRP2, ESP1	ENSG00000182809	P52943	Nucleoli
CRISPLD2	DKFZP434B044, LCRISP2, LGL1	ENSG00000103196	Q9H0B8	Nucleoplasm, Nucleoli
CRYL1	GDH, lambda-CRY, MGC149525, MGC149526	ENSG00000165475	Q9Y2S2	Nucleoplasm, Nucleoli
CSRNP3	FAM130A2, FLJ32093, PPP1R73, TAIP-2	ENSG00000178662	Q8WYN3	Nucleoli
CSTB	CST6, EPM1, PME, STFB	ENSG00000160213	P04080	Cytosol
CT45A1	CT45-1, CT45.1	ENSG00000268940	Q5HYN5	Nucleoplasm, Nucleoli
CT45A10		ENSG00000269586	P0DMU9	Nucleoplasm, Nucleoli
CT45A2	CT45-2, CT45.2	ENSG00000271449	Q5DJT8	Nucleoplasm, Nucleoli
CT45A3	CT45-3, CT45-4, CT45.3, CT45.4, CT45A4	ENSG00000269096	Q8NHU0	Nucleoplasm, Nucleoli
CT45A5	CT45-5, CT45.5	ENSG00000228836	P0DMU8	Nucleoplasm, Nucleoli
CT45A6	CT45-6, CT45.6	ENSG00000278289	P0DMU7	Nucleoplasm, Nucleoli
CT45A7		ENSG00000273696	P0DMV0	Nucleoplasm, Nucleoli
CT45A8		ENSG00000278085	P0DMV1	Nucleoplasm, Nucleoli
CT45A9		ENSG00000270946	P0DMV2	Nucleoplasm, Nucleoli
CTSB		ENSG00000164733	P07858	Vesicles
CUL1		ENSG00000055130	Q13616	Nucleoplasm
CUTC	CGI-32	ENSG00000119929	Q9NTM9	Nucleoplasm, Cytosol
CUZD1	ERG-1, UO-44	ENSG00000138161	Q86UP6	Nucleoli
CYB561A3	CYBASC3	ENSG00000162144	Q8NBI2	Nucleoli, Vesicles
CYB5D1	FLJ32499	ENSG00000182224	Q6P9G0	Nucleoli, Golgi apparatus
CYB5D2	MGC32124	ENSG00000167740	Q8WUJ1	Nuclear membrane
CYB5R1	humb5R2, NQO3A2	ENSG00000159348	Q9UHQ9	Nucleoli, Mitochondria, Cytosol
CYTH1	B2-1, cytohesin-1, D17S811E, PSCD1	ENSG00000108669	Q15438	Nucleoplasm
DCAF13	DKFZP564O0463, Gm83, HSPC064, Sof1, WDSOF1	ENSG00000164934	Q9NV06	Nucleoplasm, Nucleoli
DCTN3	DCTN-22	ENSG00000137100	O75935	Cytosol
DCTN6	WS-3	ENSG00000104671	O00399	Nucleoli, Cytosol
DCUN1D5	FLJ32431, MGC2714	ENSG00000137692	Q9BTE7	Nucleoli
DCXR	DCR, KIDCR, SDR20C1	ENSG00000169738	Q7Z4W1	Nucleoli, Microtubules
DDA1	C19orf58, MGC2594, PCIA1	ENSG00000130311	Q9BW61	Nucleoplasm, Nucleoli
DDAH1	DDAH	ENSG00000153904	O94760	Plasma membrane, Cytosol
DDRGK1	C20orf116, dJ1187M17.3, UFBP1	ENSG00000198171	Q96HY6	Endoplasmic reticulum
DDX10	Dbp4, HRH-J8	ENSG00000178105	Q13206	Nucleoli
DDX18	Has1, MrDb	ENSG00000088205	Q9NVP1	Nucleoli
DDX21	GURDB, RH-II/GU	ENSG00000165732	Q9NR30	Nucleoli
DDX23	prp28, PRPF28, SNRNP100, U5-100K	ENSG00000174243	Q9BUQ8	Nucleoplasm, Nucleoli
DDX24		ENSG00000089737	Q9GZR7	Nucleoli, Cytosol
DDX27	dJ686N3.1, DRS1	ENSG00000124228	Q96GQ7	Nucleoli
DDX28	FLJ11282, MDDX28	ENSG00000182810	Q9NUL7	Mitochondria, Cytosol
DDX31	FLJ13633, FLJ14578, FLJ23349, PPP1R25	ENSG00000125485	Q9H8H2	Nucleoli
DDX41	ABS, MGC8828	ENSG00000183258	Q9UJV9	Nucleoplasm
DDX47	DKFZp564O176, FLJ30012, HQ0256, RRP3	ENSG00000213782	Q9H0S4	Nucleoli
DDX49	Dbp8, FLJ10432	ENSG00000105671	Q9Y6V7	Mitochondria
DDX50	GU2, GUB, MGC3199, RH-II/GuB	ENSG00000107625	Q9BQ39	Nucleoli
DDX51		ENSG00000185163	Q8N8A6	Nucleoplasm, Nucleoli
DDX52	ROK1	ENSG00000278053	Q9Y2R4	Nucleoplasm, Nucleoli
DDX53	CAGE, CT26	ENSG00000184735	Q86TM3	Nucleoplasm
DDX54	APR-5, DP97, MGC2835	ENSG00000123064	Q8TDD1	Nucleoplasm, Nucleoli, Golgi apparatus
DDX55	KIAA1595	ENSG00000111364	Q8NHQ9	Nucleoli
DDX56	NOH61	ENSG00000136271	Q9NY93	Nucleoli
DEGS2	C14orf66, DES2, FADS8	ENSG00000168350	Q6QHC5	Nucleoplasm, Nucleoli
DENND4A	IRLB, MYCPBP	ENSG00000174485	Q7Z401	Nucleoli
DENND5B	MGC24039	ENSG00000170456	Q6ZUT9	Microtubules
DEPDC7		ENSG00000121690	Q96QD5	Nucleoli
DFFB	CAD, CPAN, DFF-40, DFF40	ENSG00000169598	O76075	Nucleoli
DGAT1	ARGP1, DGAT	ENSG00000185000	O75907	Endoplasmic reticulum
DHRS3	RDH17, retSDR1, Rsdr1, SDR1, SDR16C1	ENSG00000162496	O75911	Nucleoli, Mitochondria
DHX33	DDX33, DKFZp762F2011, FLJ21972	ENSG00000005100	Q9H6R0	Nucleoli
DHX57	DDX57	ENSG00000163214	Q6P158	Intermediate filaments, Microtubules
DIAPH2	DIA, DIA2, POF, POF2	ENSG00000147202	O60879	Endoplasmic reticulum, Vesicles
DIMT1	DIMT1L, HSA9761	ENSG00000086189	Q9UNQ2	Nucleoli
DLG3	KIAA1232, MRX90, NE-Dlg, NEDLG, PPP1R82, SAP-102, SAP102	ENSG00000082458	Q92796	Nucleoplasm, Nucleoli
DLK2	EGFL9, MGC2487	ENSG00000171462	Q6UY11	Nucleoplasm
DMXL1		ENSG00000172869	Q9Y485	Nucleoli
DNAJA2	CPR3, DNAJ, DNJ3, HIRIP4	ENSG00000069345	O60884	Nucleoli, Cytosol
DNAL4	dJ327J16, PIG27	ENSG00000100246	O96015	Centrosome
DNMBP	ARHGEF36, KIAA1010, Tuba	ENSG00000107554	Q6XZF7	Nucleoli, Golgi apparatus, Cytosol
DNTTIP1	C20orf167, dJ447F3.4, Tdif1	ENSG00000101457	Q9H147	Nucleoli
DNTTIP2	ERBP, HSU15552, TdIF2	ENSG00000067334	Q5QJE6	Nucleoli
DOC2A		ENSG00000149927	Q14183	Cell Junctions
DOCK11	ACG, FLJ32122, FLJ43653, ZIZ2	ENSG00000147251	Q5JSL3	Nuclear membrane, Nucleoli
DOCK4	FLJ34238, KIAA0716	ENSG00000128512	Q8N1I0	Nucleoli, Plasma membrane
DOHH	HLRC1, MGC4293	ENSG00000129932	Q9BU89	Cytosol
DOLK	DK1, KIAA1094, TMEM15	ENSG00000175283	Q9UPQ8	Nucleoplasm, Nucleoli
DPH6	ATPBD4, MGC14798	ENSG00000134146	Q7L8W6	Nucleoli
DPPA4	FLJ10713	ENSG00000121570	Q7L190	Nucleoplasm, Nucleoli
DRGX	DRG11, PRRXL1	ENSG00000165606	A6NNA5	Nucleoplasm, Nucleoli
DRICH1	C22orf43	ENSG00000189269	Q6PGQ1	Nucleoplasm, Nucleoli
DTD1	bA379J5.3, bA555E18.1, C20orf88, DUEB, HARS2, MGC119131, MGC41905, pqn-68	ENSG00000125821	Q8TEA8	Nucleoli, Cytosol
DTL	CDT2, DCAF2, L2DTL, RAMP	ENSG00000143476	Q9NZJ0	Nucleoplasm
DTWD1	MDS009, MGC111207	ENSG00000104047	Q8N5C7	Nucleoli
DTX3	FLJ34766, RNF154	ENSG00000178498	Q8N9I9	Nucleoplasm, Nucleoli
DUSP1	CL100, HVH1, MKP-1, PTPN10	ENSG00000120129	P28562	Nucleoli
DUX4		ENSG00000260596	Q9UBX2	Nucleoplasm, Nucleoli
DYNC1I2	DIC74, DNCI2	ENSG00000077380	Q13409	Endoplasmic reticulum, Cytosol
E2F5		ENSG00000133740	Q15329	Nucleoplasm
E2F8	FLJ23311	ENSG00000129173	A0AVK6	Nucleoli
EBNA1BP2	EBP2, NOBP, P40	ENSG00000117395	Q99848	Nucleoli
ECEL1	DINE, XCE	ENSG00000171551	O95672	Nucleoplasm
EDN1	ET1	ENSG00000078401	P05305	Nucleoli, Golgi apparatus
EFCAB14	KIAA0494	ENSG00000159658	O75071	Cytosol
EFCAB7	KIAA1799, RP4-534K7.1	ENSG00000203965	A8K855	Nucleoplasm, Nucleoli
EFHB	CFAP21, FLJ25200	ENSG00000163576	Q8N7U6	Nucleoli
EID3	FLJ25832, NSE4B, NSMCE4B	ENSG00000255150	Q8N140	Nucleoplasm, Nucleoli
EIF2S2	EIF2, EIF2beta, PPP1R67	ENSG00000125977	P20042	Endoplasmic reticulum
EIF3L	EIF3EIP, EIF3S11, EIF3S6IP, HSPC021, HSPC025	ENSG00000100129	Q9Y262	Nucleoli
EIPR1	EIPR-1, TSSC1	ENSG00000032389	Q53HC9	Nucleoplasm, Nucleoli
ELAVL1	Hua, HuR, MelG	ENSG00000066044	Q15717	Nucleoplasm
ELL3	FLJ22637	ENSG00000128886	Q9HB65	Nucleoli
ELMOD2	MGC10084	ENSG00000179387	Q8IZ81	Nucleoli, Cytosol
ELOC	SIII, TCEB1	ENSG00000154582	Q15369	Vesicles
EMG1		ENSG00000126749	Q92979	Nucleoli
EMX1		ENSG00000135638	Q04741	Nucleoli
EN1		ENSG00000163064	Q05925	Nucleoli
ENSA	ARPP-19e, MGC4319, MGC78563, MGC8394	ENSG00000143420	O43768	Nucleoplasm, Nucleoli
ERGIC2	Erv41, PTX1	ENSG00000087502	Q96RQ1	Golgi apparatus, Vesicles
ESF1	bA526K24.1, C20orf6	ENSG00000089048	Q9H501	Nucleoplasm, Nucleoli
ETV4	E1A-F, E1AF, PEA3	ENSG00000175832	P43268	Nucleoli
ETV6	TEL	ENSG00000139083	P41212	Nucleoli
EWSR1	EWS	ENSG00000182944	Q01844	Nucleoplasm
EXOC4	KIAA1699, MGC27170, SEC8, SEC8L1, Sec8p	ENSG00000131558	Q96A65	Nucleoli
EXOSC10	p2, p3, p4, PM-Scl, PM/Scl-100, PMSCL2, RRP6, Rrp6p	ENSG00000171824	Q01780	Nucleoli
EXOSC2	hRrp4p, p7, RRP4, Rrp4p	ENSG00000130713	Q13868	Nucleoplasm, Nucleoli
EXOSC5	hRrp46p, MGC12901, p12B, RRP41B, RRP46, Rrp46p	ENSG00000077348	Q9NQT4	Nucleoli
EXOSC9	p5, p6, PM/Scl-75, PMSCL1, RRP45, Rrp45p	ENSG00000123737	Q06265	Nucleoli
FAM102B	DKFZp779B126, SYM-3B	ENSG00000162636	Q5T8I3	Nucleoli, Cytosol
FAM105A	FLJ11127, NET20	ENSG00000145569	Q9NUU6	Nucleoli, Cytosol
FAM131A	C3orf40, MGC21688	ENSG00000175182	Q6UXB0	Nucleoli
FAM131C	C1orf117, FLJ36766	ENSG00000185519	Q96AQ9	Nucleoli, Intermediate filaments, Cytosol
FAM133A	CT115, FLJ37659, RP1-32F7.2	ENSG00000179083	Q8N9E0	Nucleoli
FAM133B	MGC40405	ENSG00000234545	Q5BKY9	Nucleoli
FAM13A	ARHGAP48, FAM13A1, KIAA0914	ENSG00000138640	O94988	Cell Junctions, Cytosol
FAM193B	FLJ10404, IRIZIO, KIAA1931	ENSG00000146067	Q96PV7	Nucleoplasm, Nucleoli
FAM204A	bA319I23.1, C10orf84, FLJ13188	ENSG00000165669	Q9H8W3	Nucleoplasm, Nucleoli
FAM229B	C6orf225, DKFZp586F0922, LOC619208	ENSG00000203778	Q4G0N7	Nucleoplasm
FAM32A	DKFZP586O0120, OTAG-12	ENSG00000105058	Q9Y421	Nucleoplasm, Nucleoli
FAM3A	2-19, DXS560S, XAP-7	ENSG00000071889	P98173	Nucleoli
FAM98C	FLJ44669	ENSG00000130244	Q17RN3	Nucleoplasm, Nucleoli
FANCD2	FA-D2, FACD, FAD, FANCD	ENSG00000144554	Q9BXW9	Nucleoplasm
FANCG	FAG, XRCC9	ENSG00000221829	O15287	Plasma membrane, Cytosol
FAR2	FLJ10462, MLSTD1, SDR10E2	ENSG00000064763	Q96K12	Golgi apparatus
FAU	asr1, FLJ22986, Fub1, Fubi, MNSFbeta, RPS30, S30	ENSG00000149806	P35544, P62861	Endoplasmic reticulum, Cytosol
FBXL2	FBL2, FBL3	ENSG00000153558	Q9UKC9	Plasma membrane
FBXL22	Fbl22, FLJ39626	ENSG00000197361	Q6P050	Nucleoli, Cytosol
FBXO36	Fbx36, FLJ37592	ENSG00000153832	Q8NEA4	Nucleoplasm, Nucleoli
FBXW11	BTRC2, BTRCP2, Fbw11, Fbw1b, FBXW1B, Hos, KIAA0696	ENSG00000072803	Q9UKB1	Nucleoli
FEN1	FEN-1, MF1, RAD2	ENSG00000168496	P39748	Nucleoplasm
FEZ2		ENSG00000171055	Q9UHY8	Nucleoli
FGF7	KGF	ENSG00000140285	P21781	Nucleoplasm, Nucleoli
FKBP15	FKBP133, KIAA0674, PPP1R76, WAFL	ENSG00000119321	Q5T1M5	Nucleoli
FOXI1	FKHL10, FREAC6	ENSG00000168269	Q12951	Nucleoli, Vesicles
FOXM1	FKHL16, HFH-11, HNF-3, INS-1, MPHOSPH2, MPP2, TGT3, trident	ENSG00000111206	Q08050	Nucleoplasm, Nucleoli
FP565260.1		ENSG00000275464		Nucleoli
FPR1	FMLP, FPR	ENSG00000171051	P21462	Golgi apparatus
FRMD8	FKSG44, FLJ90369	ENSG00000126391	Q9BZ67	Nucleoplasm, Nucleoli
FTSJ3	SPB1	ENSG00000108592	Q8IY81	Nucleoli
FXYD1	PLM	ENSG00000266964	O00168	Nucleoplasm, Cytosol
GALNT17	GalNAc-T17, GalNAc-T19, GalNAc-T5L, GALNTL3, ppGalNAc-T17, WBSCR17	ENSG00000185274	Q6IS24	Nucleoplasm, Golgi apparatus
GALNT5	GalNAc-T5	ENSG00000136542	Q7Z7M9	Nucleoli, Golgi apparatus, Cytosol
GAS2		ENSG00000148935	O43903	Plasma membrane, Cytosol
GCLC	GCS, GLCL, GLCLC	ENSG00000001084	P48506	Nucleoplasm
GDE1	MIR16	ENSG00000006007	Q9NZC3	Nucleoli
GEMIN2	SIP1	ENSG00000092208	O14893	Nucleoplasm, Nuclear bodies
