GeneName	Description	Process
DBT	The branched-chain alpha-keto dehydrogenase complex catalyzes the overall conversion of alpha-keto acids to acyl-CoA and CO(2). It contains multiple copies of three enzymatic components: branched-chain alpha-keto acid decarboxylase (E1), lipoamide acyltransferase (E2) and lipoamide dehydrogenase (E3)	Amino Acid Metabolism
AUH	Catalyzes the conversion of 3-methylglutaconyl-CoA to 3- hydroxy-3-methylglutaryl-CoA. Has very low enoyl-CoA hydratase activity. Was originally identified as RNA-binding protein that binds in vitro to clustered 5'-AUUUA-3' motifs (By similarity)	Amino Acid Metabolism
BCKDHA	The branched-chain alpha-keto dehydrogenase complex catalyzes the overall conversion of alpha-keto acids to acyl-CoA and CO(2). It contains multiple copies of three enzymatic components: branched-chain alpha-keto acid decarboxylase (E1), lipoamide acyltransferase (E2) and lipoamide dehydrogenase (E3)	Amino Acid Metabolism
ABHD11	induction:Up-regulated by rosiglitazone and down-regulated by high fat feedingsimilarity:Belongs to the AB hydrolase superfamilytissue specificity:Expressed in white adipose tissues	Amino Acid Metabolism
HIBCH	catalytic activity:3-hydroxy-2-methylpropanoyl-CoA + H(2)O = CoA + 3-hydroxy-2-methylpropanoatefunction:Hydrolyzes 3-hydroxyisobutyryl-CoA (HIBYL-CoA), a saline catabolite. Has high activity toward isobutyryl-CoA. Could be an isobutyryl-CoA dehydrogenase that functions in valine catabolism. Also hydrolyzes 3-hydroxypropanoyl-CoApathway:Amino-acid degradation; L-valine degradationsimilarity:Belongs to the enoyl-CoA hydratase/isomerase family	Amino Acid Metabolism
OXCT1	Key enzyme for ketone body catabolism. Transfers the CoA moiety from succinate to acetoacetate. Formation of the enzyme-CoA intermediate proceeds via an unstable anhydride species formed between the carboxylate groups of the enzyme and substrate (By similarity)	Amino Acid Metabolism
BCKDHB	The branched-chain alpha-keto dehydrogenase complex catalyzes the overall conversion of alpha-keto acids to acyl-CoA and CO(2). It contains multiple copies of three enzymatic components: branched-chain alpha-keto acid decarboxylase (E1), lipoamide acyltransferase (E2) and lipoamide dehydrogenase (E3)	Amino Acid Metabolism
PCCA	catalytic activity:ATP + propanoyl-CoA + HCO(3)(-) = ADP + phosphate + (S)-methylmalonyl-CoAcofactor:Biotindisease:Propionic acidemia due to recessively inherited deficiency of PCCase activity often causes life-threatening ketosis and acidosispathway:Metabolic intermediate metabolism; propionyl-CoA degradation; succinyl-CoA from propionyl-CoA: step 1/3similarity:Contains 1 ATP-grasp domainsimilarity:Contains 1 biotin carboxylation domainsimilarity:Contains 1 biotinyl-binding domainsubunit:Probably a dodecamer composed of six biotin-containing alpha subunits and six beta subunits	Amino Acid Metabolism
BCKDK	catalytic activity:ATP + [3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] = ADP + [3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] phosphatefunction:Catalyzes the phosphorylation and inactivation of the branched-chain alpha-ketoacid dehydrogenase complex, the key regulatory enzyme of the valine, leucine and isoleucine catabolic pathways. Key enzyme that regulate the activity state of the BCKD complexinduction:Expression in female liver is influenced by circadian rhythmPTM:Autophosphorylatedsimilarity:Belongs to the PDK/BCKDK protein kinase familysimilarity:Contains 1 histidine kinase domainsubunit:Monomertissue specificity:Ubiquitous	Amino Acid Metabolism
ACAT1	Plays a major role in ketone body metabolism (By similarity)	Amino Acid Metabolism
ETHE1	cofactor:Binds 2 zinc ions per subunitfunction:Probably plays an important role in metabolic homeostasis in mitochondria. May function as a nuclear-cytoplasmic shuttling protein that binds transcription factor RELA/NFKB3 in the nucleus and exports it to the cytoplasm. Suppresses p53-induced apoptosis by preventing nuclear localization of RELAmiscellaneous:No enzymatic activity yet determinedsimilarity:Belongs to the metallo-beta-lactamase superfamily. Glyoxalase II familysubunit:Interacts with RELA	Amino Acid Metabolism
ALDH4A1	catalytic activity:(S)-1-pyrroline-5-carboxylate + NAD(P)(+) + 2 H(2)O = L-glutamate + NAD(P)Hfunction:Irreversible conversion of delta-1-pyrroline-5-carboxylate (P5C), derived either from proline or ornithine, to glutamate. This is a necessary step in the pathway interconnecting the urea and tricarboxylic acid cycles. The preferred substrate is glutamic gamma-semialdehyde, other substrates include succinic, glutaric and adipic semialdehydespathway:Amino-acid degradation; L-proline degradation into L-glutamate; L-glutamate from L-proline: step 2/2PTM:Acetylation of Lys-98, Lys-113 and Lys-401 is observed in liver mitochondria from fasted mice but not from fed micesimilarity:Belongs to the aldehyde dehydrogenase familysubunit:Homodimer	Amino Acid Metabolism
IVD	catalytic activity:3-methylbutanoyl-CoA + acceptor = 3-methylbut-2-enoyl-CoA + reduced acceptorcofactor:FADpathway:Amino-acid degradation; L-leucine degradation; HMG-CoA from 3-isovaleryl-CoA: step 1/3PTM:Acetylation of Lys-76 is observed in liver mitochondria from fasted mice but not from fed micesimilarity:Belongs to the acyl-CoA dehydrogenase familysubunit:Homotetramer	Amino Acid Metabolism
MCCC1	catalytic activity:ATP + 3-methylcrotonoyl-CoA + HCO(3)(-) = ADP + phosphate + 3-methylglutaconyl-CoAcofactor:Biotinpathway:Amino-acid degradation; L-leucine degradation; HMG-CoA from 3-isovaleryl-CoA: step 2/3similarity:Contains 1 ATP-grasp domainsimilarity:Contains 1 biotin carboxylation domainsimilarity:Contains 1 biotinyl-binding domainsubunit:Probably a dodecamer composed of six biotin-containing alpha subunits and six beta subunits	Amino Acid Metabolism
PRODH	Converts proline to delta-1-pyrroline-5-carboxylate	Amino Acid Metabolism
HIBADH	catalytic activity:3-hydroxy-2-methylpropanoate + NAD(+) = 2-methyl-3-oxopropanoate + NADHsimilarity:Belongs to the 3-hydroxyisobutyrate dehydrogenase familysubunit:Homodimer	Amino Acid Metabolism
ALDH6A1	Plays a role in valine and pyrimidine metabolism. Binds fatty acyl-CoA (By similarity)	Amino Acid Metabolism
DHTKD1	The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2). It contains multiple copies of three enzymatic components: 2- oxoglutarate dehydrogenase (E1), dihydrolipoamide succinyltransferase (E2) and lipoamide dehydrogenase (E3) (By similarity)	Amino Acid Metabolism
FAHD2A	May have hydrolase activity (By similarity)	Amino Acid Metabolism
GLUD1	May be involved in learning and memory reactions by increasing the turnover of the excitatory neurotransmitter glutamate (By similarity)	Amino Acid Metabolism
MUT	methylmalonyl-Coenzyme A mutase	Amino Acid Metabolism
ALDH18A1	catalytic activity:ATP + L-glutamate = ADP + L-glutamate 5-phosphatecatalytic activity:L-glutamate 5-semialdehyde + phosphate + NADP(+) = L-glutamyl 5-phosphate + NADPHenzyme regulation:The short isoform is inhibited by L-ornithine with a Ki of approximately 0.25 mm. The long isoform is insensitive to ornithine inhibition. Thus, the two amino acid insert in the long isoform abolishes feedback inhibition of P5CS activity by L-ornithinepathway:Amino-acid biosynthesis; L-proline biosynthesis; L-glutamate 5-semialdehyde from L-glutamate: step 1/2pathway:Amino-acid biosynthesis; L-proline biosynthesis; L-glutamate 5-semialdehyde from L-glutamate: step 2/2similarity:In the C-terminal section; belongs to the gamma-glutamyl phosphate reductase familysimilarity:In the N-terminal section; belongs to the glutamate 5-kinase family	Amino Acid Metabolism
GLDC	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor; CO(2) is released and the remaining methylamine moiety is then transferred to the lipoamide cofactor of the H protein (By similarity)	Amino Acid Metabolism
PDF	similarity: Removes the formyl group from the N-terminal Met of newly synthesized proteins (By similarity)Required for normal Golgi function (By similarity)	Amino Acid Metabolism
MCEE	catalytic activity:(R)-methylmalonyl-CoA = (S)-methylmalonyl-CoAsimilarity:Belongs to the glyoxalase I family	Amino Acid Metabolism
MCCC2	catalytic activity:ATP + 3-methylcrotonoyl-CoA + HCO(3)(-) = ADP + phosphate + 3-methylglutaconyl-CoApathway:Amino-acid degradation; L-leucine degradation; HMG-CoA from 3-isovaleryl-CoA: step 2/3similarity:Belongs to the accD/PCCB familysimilarity:Contains 1 carboxyltransferase domainsubunit:Probably a dodecamer composed of six biotin-containing alpha subunits and six beta subunits	Amino Acid Metabolism
GCAT	catalytic activity:Acetyl-CoA + glycine = CoA + 2-amino-3-oxobutanoatecofactor:Pyridoxal phosphatepathway:Amino-acid degradation; L-threonine degradation via oxydo-reductase pathway; glycine from L-threonine: step 2/2similarity:Belongs to the class-II pyridoxal-phosphate-dependent aminotransferase family	Amino Acid Metabolism
NIT2	Overexpression decreases the colony-forming capacity of cultured cells by arresting cells in the G2 phase of the cell cycle (By similarity)	Amino Acid Metabolism
CKMT2	catalytic activity:ATP + creatine = ADP + phosphocreatinefunction:Reversibly catalyzes the transfer of phosphate between ATP and various phosphogens (e.g. creatine phosphate). Creatine kinase isoenzymes play a central role in energy transduction in tissues with large, fluctuating energy demands, such as skeletal muscle, heart, brain and spermatozoamiscellaneous:Mitochondrial creatine kinase binds cardiolipinsimilarity:Belongs to the ATP:guanido phosphotransferase familysubunit:Exists as an octamer composed of four CKMT2 homodimers	Amino Acid Metabolism
HMGCS2	This enzyme condenses acetyl-CoA with acetoacetyl-CoA to form HMG-CoA, which is the substrate for HMG-CoA reductase	Amino Acid Metabolism
SUOX	catalytic activity:Sulfite + O(2) + H(2)O = sulfate + H(2)O(2)cofactor:Binds 1 protoheme groupcofactor:Molybdenum (molybdopterin)pathway:Energy metabolism; sulfur metabolismsimilarity:Contains 1 cytochrome b5 heme-binding domainsubunit:Homodimer	Amino Acid Metabolism
GLS	similarity: Catalyzes the first reaction in the primary pathway for the renal catabolism of glutamine	Amino Acid Metabolism
GATM	catalytic activity:L-arginine + glycine = L-ornithine + guanidinoacetatepathway:Amine and polyamine biosynthesis; creatine biosynthesis; creatine from L-arginine and glycine: step 1/2similarity:Belongs to the amidinotransferase familysubunit:Homodimer	Amino Acid Metabolism
BCAT1	catalytic activity:2-oxoglutaric acid + L-isoleucine = (S)-3-methyl-2-oxopentanoic acid + L-glutamic acidcatalytic activity:2-oxoglutaric acid + L-valine = 3-methyl-2-oxobutanoic acid + L-glutamic acidcatalytic activity:L-leucine + 2-oxoglutarate = 4-methyl-2-oxopentanoate + L-glutamatecofactor:Pyridoxal phosphatedevelopmental stage:Highly expressed at day 9 of embryogenesis. Expression decreases to moderate levels through day 13. In the developing embryo, expressed in the brain, somites and mesenophric tubulesfunction:Catalyzes the first reaction in the catabolism of the essential branched chain amino acids leucine, isoleucine, and valinesimilarity:Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase familysubunit:Homodimertissue specificity:Expressed in brain and kidney. Overexpressed in C-myc induced brain tumors, lymphomas, as well as in a teratocarcinoma cell line	Amino Acid Metabolism
AGXT2	catalytic activity:(R)-3-amino-2-methylpropanoate + pyruvate = 2-methyl-3-oxopropanoate + L-alaninecatalytic activity:L-alanine + glyoxylate = pyruvate + glycinecofactor:Pyridoxal phosphatesimilarity:Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase familysubunit:Homotetramer	Amino Acid Metabolism
CHDH	catalytic activity:Choline + acceptor = betaine aldehyde + reduced acceptorcofactor:FADpathway:Amine and polyamine biosynthesis; betaine biosynthesis via choline pathway; betaine aldehyde from choline (cytochrome c reductase route): step 1/1PTM:Acetylation of Lys-498 is observed in liver mitochondria from fasted mice but not from fed micesimilarity:Belongs to the GMC oxidoreductase family	Amino Acid Metabolism
NIT1	similarity:Belongs to the UPF0012 familysimilarity:Contains 1 CN hydrolase domaintissue specificity:Detected in heart, brain, spleen, lung, skeletal muscle and testis, highest levels detected in liver and kidney	Amino Acid Metabolism
TST	Formation of iron-sulfur complexes and cyanide detoxification	Amino Acid Metabolism
PRODH2	Converts proline to delta-1-pyrroline-5-carboxylate (Probable)	Amino Acid Metabolism
AASS	Bifunctional enzyme that catalyzes the first two steps in lysine degradation. The N-terminal and the C-terminal contain lysine-oxoglutarate reductase and saccharopine dehydrogenase activity, respectively	Amino Acid Metabolism
AADAT	Shows activity also towards tryptophan, aspartate and hydroxykinurenine	Amino Acid Metabolism
GCSH	The glycine cleavage system catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein (By similarity)	Amino Acid Metabolism
GSTZ1	Probable bifunctional enzyme showing minimal glutathione-conjugating activity with ethacrynic acid and 7- chloro-4-nitrobenz-2-oxa-1, 3-diazole and maleylacetoacetate isomerase activity. Has also low glutathione peroxidase activity with t-butyl and cumene hydroperoxides. Is able to catalyze the glutathione dependent oxygenation of dichloroacetic acid to glyoxylic acid (By similarity)	Amino Acid Metabolism
HMGCL	catalytic activity:(S)-3-hydroxy-3-methylglutaryl-CoA = acetyl-CoA + acetoacetatepathway:Metabolic intermediate metabolism; HMG-CoA degradation; acetoacetic acid from HMG-CoA: step 1/1similarity:Belongs to the HMG-CoA lyase familysubunit:Homodimer	Amino Acid Metabolism
ABHD10	similarity:Belongs to the AB hydrolase superfamily	Amino Acid Metabolism
BCAT2	catalytic activity:2-oxoglutaric acid + L-isoleucine = (S)-3-methyl-2-oxopentanoic acid + L-glutamic acidcatalytic activity:2-oxoglutaric acid + L-valine = 3-methyl-2-oxobutanoic acid + L-glutamic acidcatalytic activity:L-leucine + 2-oxoglutarate = 4-methyl-2-oxopentanoate + L-glutamatecofactor:Pyridoxal phosphatefunction:Catalyzes the first reaction in the catabolism of the essential branched chain amino acids leucine, isoleucine, and valine. May also function as a transporter of branched chain alpha-keto acidssimilarity:Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase familysubunit:Homodimer	Amino Acid Metabolism
OAT	catalytic activity:L-ornithine + a 2-oxo acid = L-glutamate 5-semialdehyde + an L-amino acidcofactor:Pyridoxal phosphatepathway:Amino-acid biosynthesis; L-proline biosynthesis; L-glutamate 5-semialdehyde from L-ornithine: step 1/1similarity:Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase familysubunit:Homotetramer	Amino Acid Metabolism
THA1	threonine aldolase 1	Amino Acid Metabolism
AGXT	Dual metabolic roles of gluconeogenesis (in the mitochondria) and glyoxylate detoxification (in the peroxisomes) (By similarity)	Amino Acid Metabolism
GLS2	Plays an important role in the regulation of glutamine catabolism (By similarity)	Amino Acid Metabolism
LAP3	catalytic activity:Release of an N-terminal amino acid, Xaa-|-Yaa-, in which Xaa is preferably Leu, but may be other amino acids including Pro although not Arg or Lys, and Yaa may be Pro. Amino acid amides and methyl esters are also readily hydrolyzed, but rates on arylamides are exceedingly lowcatalytic activity:Release of N-terminal proline from a peptidecofactor:Binds 2 zinc ions per subunit. One zinc ion is tightly bound and essential for enzyme activity, while the second metal coordination site can be occupied by zinc, magnesium or manganese to give enzymes of different activitiesfunction:Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptidessimilarity:Belongs to the peptidase M17 familysubunit:Homohexamer	Amino Acid Metabolism
GPT2	catalytic activity:L-alanine + 2-oxoglutarate = pyruvate + L-glutamatecofactor:Pyridoxal phosphatemiscellaneous:May be responsible for increased ALT activity in hepatic steatosispathway:Amino-acid degradation; L-alanine degradation via transaminase pathway; pyruvate from L-alanine: step 1/1similarity:Belongs to the class-I pyridoxal-phosphate-dependent aminotransferase family. Alanine aminotransferase subfamilysubunit:Homodimertissue specificity:Specifically induced in fatty liver. Highly expressed in muscle, liver and white adipose tissue. Moderately expressed in brain and kidney and expressed at low levels in the heart	Amino Acid Metabolism
OXCT2A	Key enzyme for ketone body catabolism. Transfers the CoA moiety from succinate to acetoacetate. Formation of the enzyme-CoA intermediate proceeds via an unstable anhydride species formed between the carboxylate groups of the enzyme and substrate (By similarity). Probably play and important roles in the energy metabolism of spermatozoa	Amino Acid Metabolism
AMT	The glycine cleavage system catalyzes the degradation of glycine (By similarity)	Amino Acid Metabolism
MPST	Transfers a sulfur ion to cyanide or to other thiol compounds. Also has weak rhodanese activity. May have a role in cyanide degradation or in thiosulfate biosynthesis (By similarity)	Amino Acid Metabolism
ALDH5A1	catalytic activity:Succinate semialdehyde + NAD(+) + H(2)O = succinate + NADHpathway:Amino-acid degradation; 4-aminobutanoate degradationsimilarity:Belongs to the aldehyde dehydrogenase familysubunit:Homotetramer	Amino Acid Metabolism
CKMT1	catalytic activity:ATP + creatine = ADP + phosphocreatinefunction:Reversibly catalyzes the transfer of phosphate between ATP and various phosphogens (e.g. creatine phosphate). Creatine kinase isoenzymes play a central role in energy transduction in tissues with large, fluctuating energy demands, such as skeletal muscle, heart, brain and spermatozoamiscellaneous:Mitochondrial creatine kinase binds cardiolipinsimilarity:Belongs to the ATP:guanido phosphotransferase familysubunit:Exists as an octamer composed of four MTCK homodimers	Amino Acid Metabolism
GOT2	Facilitates cellular uptake of long-chain free fatty acids	Amino Acid Metabolism
ABAT	Catalyzes the conversion of gamma-aminobutyrate and L- beta-aminoisobutyrate to succinate semialdehyde and methylmalonate semialdehyde, respectively. Can also convert delta-aminovalerate and beta-alanine (By similarity)	Amino Acid Metabolism
NADK2	similarity:Belongs to the UPF0465 family	Amino Acid Metabolism
FAHD1	May have hydrolase activity (By similarity)	Amino Acid Metabolism
SUGCT	similarity:Belongs to the caiB/baiF CoA-transferase family	Amino Acid Metabolism
AGMAT	catalytic activity:Agmatine + H(2)O = putrescine + ureacofactor:Manganese pathway:Amine and polyamine biosynthesis; putrescine biosynthesis via agmatine pathway; putrescine from agmatine (ADC route): step 1/1similarity:Belongs to the arginase family. Agmatinase subfamily	Amino Acid Metabolism
QDPR	catalytic activity:A 5,6,7,8-tetrahydropteridine + NAD(P)(+) = a 6,7-dihydropteridine + NAD(P)Hfunction:The product of this enzyme, tetrahydrobiopterin (BH-4), is an essential cofactor for phenylalanine, tyrosine, and tryptophan hydroxylasessimilarity:Belongs to the short-chain dehydrogenases/reductases (SDR) familysubunit:Homodimer	Amino Acid Metabolism
KMO	catalytic activity:L-kynurenine + NADPH + O(2) = 3-hydroxy-L-kynurenine + NADP(+) + H(2)Ocofactor:FADfunction:Catalyzes the hydroxylation of L-kynurenine (L-Kyn) to form 3-hydroxy-L-kynurenine (L-3OHKyn). Required for synthesis of quinolinic acid, a neurotoxic NMDA receptor antagonist and potential endogenous inhibitor of NMDA receptor signaling in axonal targeting, synaptogenesis and apoptosis during brain development. Quinolinic acid may also affect NMDA receptor signaling in pancreatic beta cells, osteoblasts, myocardial cells, and the gastrointestinal tractpathway:Cofactor biosynthesis; NAD(+) biosynthesis; pyridine-2,3-dicarboxylate from L-kynurenine: step 1/3similarity:Belongs to the aromatic-ring hydroxylase family. KMO subfamily	Amino Acid Metabolism
PYCR2	catalytic activity:L-proline + NAD(P)(+) = 1-pyrroline-5-carboxylate + NAD(P)Hpathway:Amino-acid biosynthesis; L-proline biosynthesis; L-proline from L-glutamate 5-semialdehyde: step 1/1similarity:Belongs to the pyrroline-5-carboxylate reductase familysubunit:Homodecamer; composed of 5 homodimers	Amino Acid Metabolism
MAOB	Catalyzes the oxidative deamination of biogenic and xenobiotic amines and has important functions in the metabolism of neuroactive and vasoactive amines in the central nervous system and peripheral tissues. MAOB preferentially degrades benzylamine and phenylethylamine (By similarity)	Amino Acid Metabolism
MAOA	Catalyzes the oxidative deamination of biogenic and xenobiotic amines and has important functions in the metabolism of neuroactive and vasoactive amines in the central nervous system and peripheral tissues. MAOA preferentially oxidizes biogenic amines such as 5-hydroxytryptamine (5-HT), norepinephrine and epinephrine (By similarity)	Amino Acid Metabolism
PPM1K	Regulates the mitochondrial permeability transition pore and is essential for cellular survival and development	Amino Acid Metabolism
PYCR1	catalytic activity:L-proline + NAD(P)(+) = 1-pyrroline-5-carboxylate + NAD(P)Hpathway:Amino-acid biosynthesis; L-proline biosynthesis; L-proline from L-glutamate 5-semialdehyde: step 1/1similarity:Belongs to the pyrroline-5-carboxylate reductase familysubunit:Homodecamer; composed of 5 homodimers	Amino Acid Metabolism
ANP32A	Implicated in a number of cellular processes, including proliferation, differentiation, caspase-dependent and caspase- independent apoptosis, suppression of transformation (tumor suppressor), inhibition of protein phosphatase 2A, regulation of mRNA trafficking and stability in association with ELAVL1, and inhibition of acetyltransferases as part of the INHAT (inhibitor of histone acetyltransferases) complex. Plays a role in E4F1- mediated transcriptional repression	Apoptosis
APAF1	Oligomeric Apaf-1 mediates the cytochrome c-dependent autocatalytic activation of pro-caspase 9 (Apaf-3), leading to the activation of caspase-3 and apoptosis. This activation requires ATP (By similarity)	Apoptosis
BBC3	function:Essential mediator of p53-dependent and p53-independent apoptosisinduction:By DNA damage, glucocorticoid treatment, growth factor deprivation and p53similarity:Belongs to the Bcl-2 familysubcellular location:Localized to the mitochondria in order to induce cytochrome c releasesubunit:Interacts with BCL2 and BCL2L1/BCL-XL (By similarity). Interacts with MCL1 and BCL2A1	Apoptosis
BCL2L11	Induces apoptosis. The isoforms vary in cytotoxicity with isoform BimS being the most potent and isoform BimEL being the least potent	Apoptosis
BIK	similarity: Accelerates programmed cell death. Binding to the apoptosis repressors Bcl-X(L), BHRF1, Bcl-2 or its adenovirus homolog E1B 19k protein suppresses this death-promoting activity. Does not interact with BAX	Apoptosis
BNIP1	SNARE that may be involved in targeting and fusion of Golgi-derived retrograde transport vesicles with the ER. Required for maintenance of ER network. Implicated in the suppression of cell death (By similarity)	Apoptosis
BOK	developmental stage:At E15.0, expressed in brain, liver, thymus, lung, intestinal epithelium and follicles of the whiskersfunction:May play a role in apoptosismiscellaneous:'Matador' means killer in Spanishsimilarity:Belongs to the Bcl-2 familytissue specificity:Expressed in brain, liver, lymphoid tissues and in embryonic intestinal epithelium	Apoptosis
CASP2	Involved in the activation cascade of caspases responsible for apoptosis execution. Might function by either activating some proteins required for cell death or inactivating proteins necessary for cell survival. May be important in multistep carcinogenesis	Apoptosis
CASP3	similarity: Involved in the activation cascade of caspases responsible for apoptosis execution. At the onset of apoptosis it proteolytically cleaves poly(ADP-ribose) polymerase (PARP) at a '216-Asp-|-Gly-217' bond. Cleaves and activates sterol regulatory element binding proteins (SREBPs) between the basic helix-loop- helix leucine zipper domain and the membrane attachment domain. Cleaves and activates caspase-6, -7 and -9. Involved in the cleavage of huntingtin	Apoptosis
CASP7	Involved in the activation cascade of caspases responsible for apoptosis execution. Cleaves and activates sterol regulatory element binding proteins (SREBPs). Overexpression promotes programmed cell death (By similarity)	Apoptosis
CASP9	similarity:Belongs to the peptidase C14A familysimilarity:Contains 1 CARD domain	Apoptosis
CSNK2A1	Casein kinase II is a serine/threonine protein kinase that phosphorylates acidic proteins such as casein. It is involved in various cellular processes, including cell cycle control, apoptosis, and circadian rhythm. The kinase exists as a tetramer and is composed of an alpha, an alpha-prime, and two beta subunits. The alpha subunits contain the catalytic activity while the beta subunits undergo autophosphorylation. The protein encoded by this gene represents the alpha subunit.	Apoptosis
CTSB	Thiol protease which is believed to participate in intracellular degradation and turnover of proteins. Has also been implicated in tumor invasion and metastasis	Apoptosis
DELE1	similarity: extrinsic apoptotic signaling pathway via death domain receptors	Apoptosis
DYNLL1	Binds and inhibits the catalytic activity of neuronal nitric oxide synthase (By similarity)May be involved in some aspects of dynein-related intracellular transport and motility. May play a role in changing or maintaining the spatial distribution of cytoskeletal structures (By similarity)	Apoptosis
MAPK1	similarity: This gene encodes a member of the MAP kinase family. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act as an integration point for multiple biochemical signals, and are involved in a wide variety of cellular processes such as proliferation, differentiation, transcription regulation and development. The activation of this kinase requires its phosphorylation by upstream kinases. Upon activation, this kinase translocates to the nucleus of the stimulated cells, where it phosphorylates nuclear targets. One study also suggests that this protein acts as a transcriptional repressor independent of its kinase activity. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. Two alternatively spliced transcript variants encoding the same protein, but differing in the UTRs, have been reported for this gene. [provided by RefSeq, Jan 2014], 	Apoptosis
MAPK3	similarity: The protein encoded by this gene is a member of the MAP kinase family. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act in a signaling cascade that regulates various cellular processes such as proliferation, differentiation, and cell cycle progression in response to a variety of extracellular signals. This kinase is activated by upstream kinases, resulting in its translocation to the nucleus where it phosphorylates nuclear targets. Alternatively spliced transcript variants encoding different protein isoforms have been described. [provided by RefSeq, Jul 2008],	Apoptosis
MAPK8	The protein encoded by this gene is a member of the MAP kinase family. MAP kinases act as an integration point for multiple biochemical signals, and are involved in a wide variety of cellular processes such as proliferation, differentiation, transcription regulation and development. This kinase is activated by various cell stimuli, and targets specific transcription factors, and thus mediates immediate-early gene expression in response to cell stimuli. The activation of this kinase by tumor-necrosis factor alpha (TNF-alpha) is found to be required for TNF-alpha induced apoptosis. This kinase is also involved in UV radiation induced apoptosis, which is thought to be related to cytochrom c-mediated cell death pathway. Studies of the mouse counterpart of this gene suggested that this kinase play a key role in T cell proliferation, apoptosis and differentiation. Several alternatively spliced transcript variants encoding distinct isoforms have been reported. 	Apoptosis
MCL1	Involved in the regulation of apoptosis versus cell survival, and in the maintenance of viability but not of proliferation. Mediates its effects by interactions with a number of other regulators of apoptosis	Apoptosis
PACRG	function:Suppresses cell death induced by accumulation of unfolded Pael receptor (Pael-R, a substrate of Parkin). Facilitates the formation of inclusions consisting of Pael-R, molecular chaperones, protein degradation molecules and itself when proteasome is inhibitedsubunit:Forms a large molecular chaperone complex containing heat shock proteins 70 and 90 and chaperonin components. Interacts with STIP1, PARK2, GPR37, HSPA8, CCT1, CCT2, CCT3, CCT4, CCT5, CCT6A, CCT7 and CCT8	Apoptosis
RPS6KB1	Phosphorylates specifically ribosomal protein S6	Apoptosis
