ID	GeneSymbol	Description	log2FC	AdjPValue
ENSMUSG00000040147.14	Maob	monoamine oxidase B [Source:MGI Symbol;Acc:MGI:96916]	-2.28908692	1.06E-35
ENSMUSG00000038742.7	Angptl6	angiopoietin-like 6 [Source:MGI Symbol;Acc:MGI:1917976]	3.66306717	1.17E-35
ENSMUSG00000091971.3	Hspa1a	heat shock protein 1A [Source:MGI Symbol;Acc:MGI:96244]	-5.018786062	1.47E-34
ENSMUSG00000033684.14	Qsox1	quiescin Q6 sulfhydryl oxidase 1 [Source:MGI Symbol;Acc:MGI:1330818]	2.009333503	4.81E-34
ENSMUSG00000031207.16	Msn	moesin [Source:MGI Symbol;Acc:MGI:97167]	1.843197758	7.02E-34
ENSMUSG00000027737.10	Slc7a11	solute carrier family 7 (cationic amino acid transporter, y+ system), member 11 [Source:MGI Symbol;Acc:MGI:1347355]	9.633482917	4.28E-33
ENSMUSG00000022474.14	Pmm1	phosphomannomutase 1 [Source:MGI Symbol;Acc:MGI:1353418]	4.314353984	2.90E-32
ENSMUSG00000047963.7	Stbd1	starch binding domain 1 [Source:MGI Symbol;Acc:MGI:1261768]	3.396575112	6.01E-32
ENSMUSG00000035458.15	Tnni3	troponin I, cardiac 3 [Source:MGI Symbol;Acc:MGI:98783]	-1.462770865	8.88E-32
ENSMUSG00000032802.8	Srxn1	sulfiredoxin 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:104971]	2.789403142	1.84E-31
ENSMUSG00000040659.3	Efhd2	EF hand domain containing 2 [Source:MGI Symbol;Acc:MGI:106504]	2.756838127	5.95E-31
ENSMUSG00000036040.14	Adamtsl2	ADAMTS-like 2 [Source:MGI Symbol;Acc:MGI:1925044]	3.057802077	9.88E-31
ENSMUSG00000027313.3	Chac1	ChaC, cation transport regulator 1 [Source:MGI Symbol;Acc:MGI:1916315]	4.787578705	2.59E-30
ENSMUSG00000072812.4	Ahnak2	AHNAK nucleoprotein 2 [Source:MGI Symbol;Acc:MGI:2144831]	2.545197215	5.33E-30
ENSMUSG00000039518.7	Cdsn	corneodesmosin [Source:MGI Symbol;Acc:MGI:3505689]	6.252747469	1.38E-29
ENSMUSG00000028811.11	Yars	tyrosyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2147627]	1.918679737	1.42E-29
ENSMUSG00000064337	17724	mito	-2.572963315	1.67E-29
ENSMUSG00000042155.3	Klhl23	kelch-like 23 [Source:MGI Symbol;Acc:MGI:2683536]	-1.558551561	2.42E-29
ENSMUSG00000021203.15	Otub2	OTU domain, ubiquitin aldehyde binding 2 [Source:MGI Symbol;Acc:MGI:1915399]	3.559772744	3.04E-29
ENSMUSG00000031960.14	Aars	alanyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2384560]	1.916984965	4.14E-29
ENSMUSG00000041801.5	Phlda3	pleckstrin homology like domain, family A, member 3 [Source:MGI Symbol;Acc:MGI:1351485]	2.237142122	5.64E-29
ENSMUSG00000024587.9	Nars	asparaginyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1917473]	2.234628037	5.67E-29
ENSMUSG00000041193.15	Pla2g5	phospholipase A2, group V [Source:MGI Symbol;Acc:MGI:101899]	-4.183954579	5.67E-29
ENSMUSG00000033307.7	Mif	macrophage migration inhibitory factor (glycosylation-inhibiting factor) [Source:MGI Symbol;Acc:MGI:96982]	1.920876304	5.68E-29
ENSMUSG00000059325.14	Hopx	HOP homeobox [Source:MGI Symbol;Acc:MGI:1916782]	-2.264351754	6.02E-29
ENSMUSG00000020142.12	Slc1a4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:MGI Symbol;Acc:MGI:2135601]	3.574005596	6.80E-29
ENSMUSG00000028893.8	Sesn2	sestrin 2 [Source:MGI Symbol;Acc:MGI:2651874]	4.169365816	1.47E-28
ENSMUSG00000011752.6	Pgam1	phosphoglycerate mutase 1 [Source:MGI Symbol;Acc:MGI:97552]	1.812070039	1.54E-28
ENSMUSG00000036181.2	Hist1h1c	histone cluster 1, H1c [Source:MGI Symbol;Acc:MGI:1931526]	1.54435475	1.59E-28
ENSMUSG00000028059.15	Arhgef2	rho/rac guanine nucleotide exchange factor (GEF) 2 [Source:MGI Symbol;Acc:MGI:103264]	1.727689083	1.80E-28
ENSMUSG00000025586.17	Cpeb1	cytoplasmic polyadenylation element binding protein 1 [Source:MGI Symbol;Acc:MGI:108442]	1.85159695	2.91E-28
ENSMUSG00000055737.12	Ghr	growth hormone receptor [Source:MGI Symbol;Acc:MGI:95708]	-1.651930357	3.17E-28
ENSMUSG00000040086.13	Tnni3k	TNNI3 interacting kinase [Source:MGI Symbol;Acc:MGI:2443276]	-1.792347058	1.51E-27
ENSMUSG00000031111.16	Igsf1	immunoglobulin superfamily, member 1 [Source:MGI Symbol;Acc:MGI:2147913]	-2.678014469	1.54E-27
ENSMUSG00000090877.3	Hspa1b	heat shock protein 1B [Source:MGI Symbol;Acc:MGI:99517]	-4.784149168	4.37E-27
ENSMUSG00000103476.1	Gm34302	predicted gene, 34302 [Source:MGI Symbol;Acc:MGI:5593461]	-5.991335613	6.23E-27
ENSMUSG00000025408.15	Ddit3	DNA-damage inducible transcript 3 [Source:MGI Symbol;Acc:MGI:109247]	2.609603127	2.18E-26
ENSMUSG00000037742.14	Eef1a1	eukaryotic translation elongation factor 1 alpha 1 [Source:MGI Symbol;Acc:MGI:1096881]	2.315875068	2.39E-26
ENSMUSG00000000278.10	Scpep1	serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]	2.056968044	3.15E-26
ENSMUSG00000076612.8	Ighg2c	immunoglobulin heavy constant gamma 2C [Source:MGI Symbol;Acc:MGI:2686979]	3.930996954	4.24E-26
ENSMUSG00000025403.5	Shmt2	serine hydroxymethyltransferase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:1277989]	2.268777542	4.51E-26
ENSMUSG00000038239.11	Hrc	histidine rich calcium binding protein [Source:MGI Symbol;Acc:MGI:96226]	-3.215053125	5.85E-26
ENSMUSG00000017765.17	Slc12a4	solute carrier family 12, member 4 [Source:MGI Symbol;Acc:MGI:1309465]	1.49138681	8.46E-26
ENSMUSG00000041168.9	Lonp1	lon peptidase 1, mitochondrial [Source:MGI Symbol;Acc:MGI:1921392]	2.167360836	8.63E-26
ENSMUSG00000026971.15	Itgb6	integrin beta 6 [Source:MGI Symbol;Acc:MGI:96615]	-3.405389186	1.75E-25
ENSMUSG00000020458.16	Rtn4	reticulon 4 [Source:MGI Symbol;Acc:MGI:1915835]	2.948465541	2.07E-25
ENSMUSG00000022346.15	Myc	myelocytomatosis oncogene [Source:MGI Symbol;Acc:MGI:97250]	4.425520156	3.35E-25
ENSMUSG00000010755.17	Cars	cysteinyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1351477]	2.044371055	5.21E-25
ENSMUSG00000028989.3	Angptl7	angiopoietin-like 7 [Source:MGI Symbol;Acc:MGI:3605801]	4.067281642	6.24E-25
ENSMUSG00000042436.12	Mfap4	microfibrillar-associated protein 4 [Source:MGI Symbol;Acc:MGI:1342276]	3.128348559	8.25E-25
ENSMUSG00000042254.14	Cilp	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase [Source:MGI Symbol;Acc:MGI:2444507]	4.218736882	9.16E-25
ENSMUSG00000074093.4	Svip	small VCP/p97-interacting protein [Source:MGI Symbol;Acc:MGI:1922994]	-1.744255663	1.19E-24
ENSMUSG00000017692.8	Rhbdl3	rhomboid, veinlet-like 3 (Drosophila) [Source:MGI Symbol;Acc:MGI:2179276]	-2.422980874	1.37E-24
ENSMUSG00000064370	17711	mito	-2.192002452	1.68E-24
ENSMUSG00000034667.8	Xpot	exportin, tRNA (nuclear export receptor for tRNAs) [Source:MGI Symbol;Acc:MGI:1920442]	1.799108181	1.82E-24
ENSMUSG00000021313.16	Ryr2	ryanodine receptor 2, cardiac [Source:MGI Symbol;Acc:MGI:99685]	-1.724138393	1.96E-24
ENSMUSG00000000184.12	Ccnd2	cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]	2.002000587	2.42E-24
ENSMUSG00000020593.15	Lpin1	lipin 1 [Source:MGI Symbol;Acc:MGI:1891340]	-1.797761543	2.45E-24
ENSMUSG00000039652.16	Cpeb3	cytoplasmic polyadenylation element binding protein 3 [Source:MGI Symbol;Acc:MGI:2443075]	-1.665129187	2.69E-24
ENSMUSG00000025432.11	Avil	advillin [Source:MGI Symbol;Acc:MGI:1333798]	3.703611311	2.78E-24
ENSMUSG00000044042.18	Fmn1	formin 1 [Source:MGI Symbol;Acc:MGI:101815]	2.709655877	2.88E-24
ENSMUSG00000029499.11	Pxmp2	peroxisomal membrane protein 2 [Source:MGI Symbol;Acc:MGI:107487]	-2.68715403	2.93E-24
ENSMUSG00000105987.4	AI506816	expressed sequence AI506816 [Source:MGI Symbol;Acc:MGI:2140929]	2.280048718	3.27E-24
ENSMUSG00000029158.9	Yipf7	Yip1 domain family, member 7 [Source:MGI Symbol;Acc:MGI:1922831]	-2.471500464	3.48E-24
ENSMUSG00000114005.1	AC159238.2		-4.755634711	3.71E-24
ENSMUSG00000026615.14	Eprs	glutamyl-prolyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:97838]	2.257727893	5.21E-24
ENSMUSG00000060600.15	Eno3	enolase 3, beta muscle [Source:MGI Symbol;Acc:MGI:95395]	-2.268685794	5.50E-24
ENSMUSG00000024493.8	Lars	leucyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1913808]	1.940098251	6.88E-24
ENSMUSG00000078866.10	Zfp970	zinc finger protein 970 [Source:MGI Symbol;Acc:MGI:3652255]	-2.390831649	7.36E-24
ENSMUSG00000062380.4	Tubb3	tubulin, beta 3 class III [Source:MGI Symbol;Acc:MGI:107813]	4.325668069	7.57E-24
ENSMUSG00000028542.17	Slc6a9	solute carrier family 6 (neurotransmitter transporter, glycine), member 9 [Source:MGI Symbol;Acc:MGI:95760]	4.138614624	1.43E-23
ENSMUSG00000026142.15	Rhbdd1	rhomboid domain containing 1 [Source:MGI Symbol;Acc:MGI:1924117]	2.057785607	1.78E-23
ENSMUSG00000039763.9	Dnajc28	DnaJ heat shock protein family (Hsp40) member C28 [Source:MGI Symbol;Acc:MGI:2181053]	-1.89101962	2.46E-23
ENSMUSG00000108994.1	Gm31663	predicted gene, 31663 [Source:MGI Symbol;Acc:MGI:5590822]	-5.020301429	3.88E-23
ENSMUSG00000034993.7	Vat1	vesicle amine transport 1 [Source:MGI Symbol;Acc:MGI:1349450]	2.12225873	4.54E-23
ENSMUSG00000111765.1	AC157516.1		-4.933835324	5.05E-23
ENSMUSG00000020264.5	Slc36a2	solute carrier family 36 (proton/amino acid symporter), member 2 [Source:MGI Symbol;Acc:MGI:1891430]	-2.645665166	5.48E-23
ENSMUSG00000031712.10	Il15	interleukin 15 [Source:MGI Symbol;Acc:MGI:103014]	-2.464449447	6.09E-23
ENSMUSG00000002500.15	Rpl3l	ribosomal protein L3-like [Source:MGI Symbol;Acc:MGI:1913461]	-4.018969609	1.05E-22
ENSMUSG00000038550.10	Ciart	circadian associated repressor of transcription [Source:MGI Symbol;Acc:MGI:2684975]	2.890804706	1.36E-22
ENSMUSG00000031762.7	Mt2	metallothionein 2 [Source:MGI Symbol;Acc:MGI:97172]	3.195870849	1.66E-22
ENSMUSG00000038776.13	Ephx1	epoxide hydrolase 1, microsomal [Source:MGI Symbol;Acc:MGI:95405]	2.107514729	1.93E-22
ENSMUSG00000028410.13	Dnaja1	DnaJ heat shock protein family (Hsp40) member A1 [Source:MGI Symbol;Acc:MGI:1270129]	-1.618108729	2.33E-22
ENSMUSG00000030717.9	Nupr1	nuclear protein transcription regulator 1 [Source:MGI Symbol;Acc:MGI:1891834]	3.836683294	2.33E-22
ENSMUSG00000027750.16	Postn	periostin, osteoblast specific factor [Source:MGI Symbol;Acc:MGI:1926321]	2.972991776	3.83E-22
ENSMUSG00000026986.14	Hnmt	histamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:2153181]	-2.930820874	8.74E-22
ENSMUSG00000055013.15	Agap1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:MGI Symbol;Acc:MGI:2653690]	1.587089015	1.18E-21
ENSMUSG00000084349.3	Rpl3-ps1	ribosomal protein L3, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3644217]	2.233796787	1.42E-21
ENSMUSG00000036256.13	Igfbp7	insulin-like growth factor binding protein 7 [Source:MGI Symbol;Acc:MGI:1352480]	1.590134761	1.43E-21
ENSMUSG00000030401.16	Rtn2	reticulon 2 (Z-band associated protein) [Source:MGI Symbol;Acc:MGI:107612]	-1.950127917	1.75E-21
ENSMUSG00000107689.1	Gm44386	predicted gene, 44386 [Source:MGI Symbol;Acc:MGI:5690778]	-2.234578235	1.75E-21
ENSMUSG00000039239.14	Tgfb2	transforming growth factor, beta 2 [Source:MGI Symbol;Acc:MGI:98726]	3.21538657	2.15E-21
ENSMUSG00000022122.14	Ednrb	endothelin receptor type B [Source:MGI Symbol;Acc:MGI:102720]	1.837317124	2.25E-21
ENSMUSG00000030605.15	Mfge8	milk fat globule-EGF factor 8 protein [Source:MGI Symbol;Acc:MGI:102768]	1.497134822	2.25E-21
ENSMUSG00000022748.7	Cmss1	cms small ribosomal subunit 1 [Source:MGI Symbol;Acc:MGI:1913747]	-1.694889141	3.33E-21
ENSMUSG00000020250.10	Txnrd1	thioredoxin reductase 1 [Source:MGI Symbol;Acc:MGI:1354175]	1.839006845	3.45E-21
ENSMUSG00000025511.14	Tspan4	tetraspanin 4 [Source:MGI Symbol;Acc:MGI:1928097]	2.111680842	3.62E-21
ENSMUSG00000046027.17	Stard5	StAR-related lipid transfer (START) domain containing 5 [Source:MGI Symbol;Acc:MGI:2156765]	2.81075637	7.48E-21
ENSMUSG00000007029.16	Vars	valyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:90675]	1.953274509	7.87E-21
ENSMUSG00000024664.4	Fads3	fatty acid desaturase 3 [Source:MGI Symbol;Acc:MGI:1928740]	1.885302936	8.21E-21
ENSMUSG00000029119.9	Man2b2	mannosidase 2, alpha B2 [Source:MGI Symbol;Acc:MGI:1195262]	1.559652245	8.47E-21
ENSMUSG00000085591.1	Gm13479	predicted gene 13479 [Source:MGI Symbol;Acc:MGI:3651869]	-3.000880935	8.74E-21
ENSMUSG00000021831.8	Ero1l	ERO1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1354385]	2.14340551	8.93E-21
ENSMUSG00000050010.8	Shisa3	shisa family member 3 [Source:MGI Symbol;Acc:MGI:3041225]	4.243498987	9.45E-21
ENSMUSG00000098178.1	Gm42418	predicted gene, 42418 [Source:MGI Symbol;Acc:MGI:5649005]	1.963252773	1.13E-20
ENSMUSG00000029467.15	Atp2a2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 [Source:MGI Symbol;Acc:MGI:88110]	-1.492207674	1.26E-20
ENSMUSG00000025185.14	Loxl4	lysyl oxidase-like 4 [Source:MGI Symbol;Acc:MGI:1914823]	3.576188868	1.32E-20
ENSMUSG00000028124.15	Gclm	glutamate-cysteine ligase, modifier subunit [Source:MGI Symbol;Acc:MGI:104995]	1.876684149	1.60E-20
ENSMUSG00000091572.8	Vmn2r3	vomeronasal 2, receptor 3 [Source:MGI Symbol;Acc:MGI:3643995]	10.37560579	2.12E-20
ENSMUSG00000032849.13	Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4 [Source:MGI Symbol;Acc:MGI:2443111]	2.281962612	2.43E-20
ENSMUSG00000037996.17	Slc24a2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	3.593583498	2.47E-20
ENSMUSG00000093482.8	Gm20619	predicted gene 20619 [Source:MGI Symbol;Acc:MGI:5313066]	-3.375379207	2.47E-20
ENSMUSG00000053964.17	Lgals4	lectin, galactose binding, soluble 4 [Source:MGI Symbol;Acc:MGI:107536]	-2.133546003	2.54E-20
ENSMUSG00000010095.13	Slc3a2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 [Source:MGI Symbol;Acc:MGI:96955]	2.11021598	2.79E-20
ENSMUSG00000020400.17	Tnip1	TNFAIP3 interacting protein 1 [Source:MGI Symbol;Acc:MGI:1926194]	1.642875785	2.79E-20
ENSMUSG00000090031.2	4732440D04Rik	RIKEN cDNA 4732440D04 gene [Source:MGI Symbol;Acc:MGI:3604103]	-1.84710748	3.04E-20
ENSMUSG00000056413.16	Adap1	ArfGAP with dual PH domains 1 [Source:MGI Symbol;Acc:MGI:2442201]	3.110587184	3.15E-20
ENSMUSG00000024411.9	Aqp4	aquaporin 4 [Source:MGI Symbol;Acc:MGI:107387]	-5.237931159	3.28E-20
ENSMUSG00000022442.15	Ttll1	tubulin tyrosine ligase-like 1 [Source:MGI Symbol;Acc:MGI:2443047]	-2.047826391	3.71E-20
ENSMUSG00000027955.16	Fam198b	family with sequence similarity 198, member B [Source:MGI Symbol;Acc:MGI:1915909]	2.259757217	3.90E-20
ENSMUSG00000029862.15	Clcn1	chloride channel, voltage-sensitive 1 [Source:MGI Symbol;Acc:MGI:88417]	-3.786615697	4.78E-20
ENSMUSG00000032523.11	Hhatl	hedgehog acyltransferase-like [Source:MGI Symbol;Acc:MGI:1922020]	-2.586829291	7.06E-20
ENSMUSG00000060843.11	Ctnna3	catenin (cadherin associated protein), alpha 3 [Source:MGI Symbol;Acc:MGI:2661445]	-1.400776204	7.25E-20
ENSMUSG00000011179.8	Odc1	ornithine decarboxylase, structural 1 [Source:MGI Symbol;Acc:MGI:97402]	1.667732417	1.03E-19
ENSMUSG00000068196.4	Col8a1	collagen, type VIII, alpha 1 [Source:MGI Symbol;Acc:MGI:88463]	3.0764448	1.22E-19
ENSMUSG00000020737.12	Hn1	hematological and neurological expressed sequence 1 [Source:MGI Symbol;Acc:MGI:1096361]	1.45773529	1.28E-19
ENSMUSG00000041417.15	Pik3r1	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha) [Source:MGI Symbol;Acc:MGI:97583]	-1.40698957	1.48E-19
ENSMUSG00000086841.1	2410006H16Rik	RIKEN cDNA 2410006H16 gene [Source:MGI Symbol;Acc:MGI:1916471]	2.550256355	1.61E-19
ENSMUSG00000037851.13	Iars	isoleucine-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2145219]	1.689005951	1.88E-19
ENSMUSG00000027004.3	Frzb	frizzled-related protein [Source:MGI Symbol;Acc:MGI:892032]	2.360717697	1.98E-19
ENSMUSG00000024501.19	Dpysl3	dihydropyrimidinase-like 3 [Source:MGI Symbol;Acc:MGI:1349762]	1.889934255	2.08E-19
ENSMUSG00000029769.16	Ccdc136	coiled-coil domain containing 136 [Source:MGI Symbol;Acc:MGI:1918128]	3.211449265	2.45E-19
ENSMUSG00000020256.14	Aldh1l2	aldehyde dehydrogenase 1 family, member L2 [Source:MGI Symbol;Acc:MGI:2444680]	2.870483529	2.55E-19
ENSMUSG00000038193.4	Hand2	heart and neural crest derivatives expressed transcript 2 [Source:MGI Symbol;Acc:MGI:103580]	-1.737113659	2.59E-19
ENSMUSG00000032946.16	Rasgrp2	RAS, guanyl releasing protein 2 [Source:MGI Symbol;Acc:MGI:1333849]	-1.547877964	3.46E-19
ENSMUSG00000110580.1	Gm45707	predicted gene 45707 [Source:MGI Symbol;Acc:MGI:5804822]	-3.08156984	4.35E-19
ENSMUSG00000052131.7	Akr1b7	aldo-keto reductase family 1, member B7 [Source:MGI Symbol;Acc:MGI:101918]	6.612645641	4.82E-19
ENSMUSG00000027016.17	Zfp385b	zinc finger protein 385B [Source:MGI Symbol;Acc:MGI:2444734]	2.695441885	4.94E-19
ENSMUSG00000023094.14	Msrb2	methionine sulfoxide reductase B2 [Source:MGI Symbol;Acc:MGI:1923717]	-1.792470508	4.99E-19
ENSMUSG00000056201.7	Cfl1	cofilin 1, non-muscle [Source:MGI Symbol;Acc:MGI:101757]	1.115633152	4.99E-19
ENSMUSG00000074521.9	Gm14327	predicted gene 14327 [Source:MGI Symbol;Acc:MGI:3652188]	-3.312229321	5.50E-19
ENSMUSG00000031490.6	Eif4ebp1	eukaryotic translation initiation factor 4E binding protein 1 [Source:MGI Symbol;Acc:MGI:103267]	2.40445869	5.66E-19
ENSMUSG00000048371.8	Pdp2	pyruvate dehyrogenase phosphatase catalytic subunit 2 [Source:MGI Symbol;Acc:MGI:1918878]	-2.053967597	6.04E-19
ENSMUSG00000001056.3	Nhp2	NHP2 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1098547]	1.980321816	6.78E-19
